,The_Lovely_Bones_A_Novel,The_Da_Vinci_Code,The_Secret_Life_of_Bees,Harry_Potter_and_the_Chamber_of_Secrets_Book_2,Bridget_Joness_Diary,Life_of_Pi,Harry_Potter_and_the_Prisoner_of_Azkaban_Book_3,The_Nanny_Diaries_A_Novel,The_Red_Tent_Bestselling_Backlist,Harry_Potter_and_the_Sorcerers_Stone_Harry_Potter_Paperback,Wild_Animus,Angels__Demons,A_Painted_House,Harry_Potter_and_the_Goblet_of_Fire_Book_4,To_Kill_a_Mockingbird
User_11676,2.0,4.0,4.5,4.666666666666667,3.0,3.0,3.5,3.5,5.0,5.0,3.0,4.0,4.5,4.5,4.5
User_220688,4.0,5.0,5.0,5.0,4.0,4.2,5.0,5.0,4.2,5.0,2.0,4.1,4.1,5.0,4.5
User_10560,4.0,5.0,4.5,5.0,3.7,4.2,5.0,4.1,4.0,5.0,1.9,4.0,4.1,4.0,4.5
User_66942,4.0,4.2,4.0,4.0,3.7,4.0,4.0,4.1,4.2,4.0,1.9,4.1,4.1,4.0,5.0
User_16795,5.0,5.0,5.0,4.7,4.0,5.0,4.6,4.0,4.0,4.9,1.9,4.1,4.1,4.7,4.5
User_75819,4.0,5.0,4.5,4.0,3.7,4.2,4.0,4.1,4.2,4.9,1.9,5.0,4.0,4.0,4.5
User_229741,4.0,3.0,4.5,4.0,4.0,4.2,4.0,4.0,4.2,4.9,1.9,4.1,4.1,4.0,4.0
User_232131,4.0,5.0,5.0,4.0,3.3333333333333335,4.2,4.0,4.1,4.2,4.0,1.9,4.0,4.1,4.7,4.5
User_29526,4.0,4.2,5.0,5.0,5.0,4.2,5.0,4.1,5.0,4.9,1.9,4.1,4.1,5.0,4.5
User_30735,4.0,4.2,4.5,4.0,2.0,4.2,4.0,4.1,5.0,5.0,1.9,4.1,4.1,5.0,4.5
User_89602,4.0,4.0,4.0,4.7,2.0,4.2,4.6,4.1,4.2,4.9,1.9,4.0,4.1,4.7,4.0
User_95359,4.0,4.2,4.5,4.7,3.7,5.0,4.6,4.0,4.0,4.9,1.9,4.0,4.1,4.7,5.0
User_105979,4.0,2.0,4.0,4.7,4.0,4.2,4.6,4.0,4.2,4.9,1.9,4.1,4.1,4.7,5.0
User_115003,4.0,4.0,4.5,4.7,3.7,5.0,4.6,4.1,4.0,4.9,1.9,4.1,4.0,4.7,5.0
User_136491,4.0,5.0,5.0,4.0,3.7,4.2,4.0,4.1,4.2,4.9,1.9,4.1,4.1,4.0,4.0
User_165308,4.0,4.2,4.5,5.0,5.0,4.2,4.6,4.1,4.0,4.9,1.9,4.1,4.0,5.0,4.0
User_168047,4.0,4.2,5.0,5.0,3.7,4.2,5.0,4.1,4.2,4.9,0.0,4.1,4.1,5.0,5.0
User_170513,4.0,5.0,4.5,5.0,3.7,4.2,5.0,4.1,4.2,5.0,1.9,4.1,4.0,5.0,4.5
User_172512,4.0,4.2,4.0,5.0,3.7,4.2,4.6,4.1,4.2,5.0,1.9,4.1,4.0,5.0,4.5
User_187256,4.0,4.0,5.0,4.7,3.7,4.2,4.6,4.1,2.0,4.9,4.0,4.1,4.0,4.7,4.5
User_223501,4.0,4.0,4.0,4.0,3.7,4.0,4.6,4.1,4.0,4.9,1.9,4.1,4.1,4.7,4.5
User_240567,4.0,5.0,5.0,4.7,3.7,4.2,4.6,4.1,4.0,4.9,1.9,4.0,4.0,4.7,4.0
User_260897,4.0,4.2,4.5,4.7,4.0,4.2,4.6,4.0,4.2,4.9,1.0,4.1,4.1,4.0,4.0
User_271448,5.0,4.2,4.5,4.7,3.7,4.2,4.6,5.0,4.0,4.9,1.0,4.1,5.0,5.0,4.5
User_271705,4.0,4.2,4.5,4.7,4.0,4.0,5.0,4.0,4.0,5.0,1.9,4.1,4.1,4.7,4.5
User_276165,4.0,4.0,4.5,5.0,3.7,4.2,5.0,4.0,4.2,4.9,1.9,4.0,4.1,5.0,4.5
User_13273,4.0,4.0,4.0,4.7,3.7,4.2,4.6,4.1,4.2,4.9,1.9,4.0,4.1,4.0,4.5
User_22625,5.0,4.2,4.0,5.0,3.7,4.2,4.6,4.1,4.2,5.0,1.9,4.1,5.0,4.7,4.5
User_35859,3.0,4.2,4.0,4.7,3.7,4.2,4.6,4.0,5.0,5.0,1.9,4.1,4.1,4.7,4.5
User_36003,4.0,4.2,4.5,5.0,5.0,4.2,5.0,4.1,4.2,4.9,1.9,4.1,4.1,5.0,5.0
User_37712,4.0,3.0,4.0,4.7,5.0,4.2,4.6,4.1,4.2,4.9,1.9,4.0,4.1,4.7,5.0
User_68555,4.0,5.0,4.0,4.7,2.0,4.2,4.6,4.1,5.0,4.9,1.9,4.1,2.0,4.7,4.5
User_73681,4.0,4.0,4.5,5.0,3.7,4.0,5.0,4.1,4.2,4.9,1.9,4.1,4.1,5.0,4.5
User_85993,4.0,4.2,4.5,5.0,2.0,4.2,5.0,4.1,4.2,5.0,1.9,4.1,4.1,5.0,4.5
User_88693,4.0,4.0,4.5,4.7,3.7,4.2,4.6,4.0,4.0,4.9,2.0,4.0,4.1,4.7,4.5
User_104636,4.0,4.2,4.5,5.0,3.0,4.2,5.0,4.1,4.2,5.0,1.9,4.1,4.1,5.0,4.5
